SSDSE-B-2026,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2017,R03000,ä‚éËåß,1254000,603000,651000,1249000,602000,647000,144000,74000,70000,711000,363000,348000,400000,168000,232000,8175,4132,4043,1.47,17232,8658,8574,16658,9512,7146,21019,11393,9626,4775,1861,10.6,29.2,-4.7,131,1409.5,8070,1485889,826,21983,24800,45300,102,748,7387,326,4911,60141,165,3051,33023,11302,11123,80,3029,34446,11162,4975,5,6,89,1400,999,11319,500,77,2413,352,36,7,5127,412,48998,175221,236325,19552,20647,16615,5041850,182810,8024,4204,3233,540,736734,510899,54540,166926,426270,922,18.4,78,874,587,370,29056,178,28301,3971,276258,71755,15542,25384,9352,10428,13667,34538,10128,25039,60424
2016,R03000,ä‚éËåß,1268000,610000,658000,1262000,608000,654000,147000,75000,72000,726000,370000,356000,395000,165000,230000,8342,4296,4046,1.45,16959,8459,8500,17113,9842,7271,20983,11375,9608,4873,1877,11.2,30.5,-3.6,124,1318.0,8138,1380149,837,21789,24700,45900,106,732,7810,334,4979,61184,167,3111,34239,11839,11630,80,3067,35110,11558,5034,5,5,97,1371,1118,11278,518,91,2408,356,36,7,5143,425,52561,189671,225437,20999,22549,15156,5180760,125330,7974,4361,3029,476,745606,538905,47244,153201,430106,921,18.1,78,898,592,368,28888,194,28156,4019,288989,71061,14922,25048,10591,10948,14803,42315,7422,26790,65088
2015,R03000,ä‚éËåß,1279594,615584,664010,1272745,613118,659627,150992,77222,73770,734886,373365,361521,386573,160565,226008,8814,4473,4341,1.49,16502,8275,8227,17636,10158,7478,21758,11818,9940,5243,1956,11.6,29.3,-3.8,119,1094.0,8288,1507568,847,21641,24500,46200,113,763,8687,342,5082,63101,171,3187,35404,12081,11889,81,3086,35313,11390,5032,5,5,97,1355,1125,11466,501,56,2457,331,36,7,5266,390,56312,202179,218857,22222,23729,15066,4949860,99360,8422,4463,3520,412,806968,564956,41485,198140,440812,933,18.5,76,904,594,361,27961,128,27807,4036,286439,70729,18443,26961,9502,11143,12291,39066,9212,25138,63955
2014,R03000,ä‚éËåß,1290000,620000,670000,1285000,618000,667000,156000,80000,76000,749000,378000,370000,380000,156000,224000,8803,4536,4267,1.44,16274,8266,8008,17845,10244,7601,21045,11568,9477,5482,1855,10.6,28.8,-5.8,133,1280.0,8188,1610262,859,21594,24300,46400,141,956,11709,347,5093,64512,172,3235,36137,12083,11937,81,3091,35879,11705,4991,5,5,100,1365,1164,11610,550,77,2467,400,34,8,5547,479,62898,225517,221324,25165,26738,16443,4769050,73220,9006,4433,3847,643,860473,562547,66024,224906,449548,945,17.4,76,902,594,350,26018,193,26681,4229,273964,68915,22237,28701,9363,11393,11924,37866,7110,23066,53390
2013,R03000,ä‚éËåß,1299000,623000,676000,1294000,621000,672000,159000,82000,77000,764000,385000,378000,372000,152000,220000,9231,4766,4465,1.46,15970,8186,7784,18529,10675,7854,20960,11335,9625,5398,2003,10.6,29.4,-7.1,133,1643.0,9370,1949583,910,21752,24500,46400,142,974,11962,362,5221,66328,178,3290,36764,12530,12348,81,3099,36252,11892,5034,5,5,105,1351,1173,11680,508,79,2482,405,33,8,5904,487,67848,247765,232325,27196,28950,16733,4685240,61330,9870,5176,3926,689,982420,674537,68998,235216,452666,945,18.5,77,923,602,348,25544,168,26214,4090,276415,65103,13991,28262,8664,9829,12342,44567,7771,25646,60240
2012,R03000,ä‚éËåß,1306000,625000,680000,1302000,624000,677000,162000,83000,79000,777000,392000,386000,364000,148000,216000,9277,4776,4501,1.44,16072,8269,7803,19306,11201,8105,21691,11892,9799,5629,1975,10.8,32.0,-7.2,111,1029.5,8691,1694783,923,21260,25300,49800,142,965,12287,372,5303,68004,189,3346,37079,12377,12238,81,3109,37533,12581,5088,5,5,100,1353,1153,11600,534,89,2347,332,33,8,5900,501,73936,275175,228714,31510,32925,20756,4927140,42790,8121,4522,2978,539,807571,587995,55565,160338,455076,943,18.7,77,918,590,354,26121,135,27256,4147,275001,67891,19574,26990,9875,10115,13264,32743,5851,24827,63872
2023,R04000,ã{èÈåß,2264000,1105000,1160000,2239000,1092000,1147000,250000,128000,122000,1352000,686000,666000,662000,290000,372000,12328,6316,6012,1.07,28640,14525,14115,42940,24393,18547,43957,24835,19122,7899,3138,15.0,33.2,-1.3,89,1046.0,9639,2072530,685,33819,48400,297600,208,2161,19248,361,7940,108637,200,4837,57116,19362,18148,96,4474,53555,16818,9353,5,14,185,5042,2620,48747,1004,17,11248,1637,67,22,16110,1981,64047,282750,404068,15877,15636,36253,9178210,514580,15661,3733,8738,3178,1141522,431537,320674,388080,758541,923,15.3,108,1724,1038,411,32499,41,28610,6304,305541,83835,21914,25288,12028,10211,16836,48168,11245,27380,48636
2022,R04000,ã{èÈåß,2280000,1112000,1168000,2256000,1100000,1156000,258000,132000,126000,1363000,691000,672000,659000,289000,371000,12852,6544,6308,1.09,28040,14013,14027,44528,25489,19039,43566,25145,18421,8431,3046,13.5,29.4,-1.4,100,1224.5,11082,2260807,704,34267,46000,275100,212,2210,21180,367,7941,111148,203,4875,58247,19751,18683,95,4492,54112,17714,9775,5,14,182,5043,2662,49397,1103,20,11389,1603,68,23,16977,1319,62696,277647,408747,15899,15820,11763,7625860,59120,17599,4337,8243,4978,1357933,509242,480928,363572,801656,972,15.0,108,1749,1054,515,44422,75,38360,6266,287781,78589,22951,25150,11163,9293,14403,41056,5625,26516,53033
2021,R04000,ã{èÈåß,2290000,1117000,1174000,2269000,1107000,1162000,264000,135000,129000,1371000,695000,677000,655000,287000,368000,13761,7023,6738,1.15,25897,12935,12962,44079,25185,18894,43962,25236,18726,8595,3228,13.7,28.7,-2.3,106,1183.0,11616,2457318,712,34258,44100,263000,222,2277,23722,374,7909,112246,205,4916,58748,19556,18625,95,4539,55329,18434,9936,5,14,179,5071,2701,49580,1068,19,11253,1554,69,22,17510,1183,62198,280039,392759,16404,16061,5053,5631070,35570,16835,4989,7224,4577,1384640,596902,461211,322714,808078,976,15.7,109,1713,1051,506,42922,222,40519,5954,284171,75689,19852,22954,12054,9406,14631,40870,10319,24985,53411
2020,R04000,ã{èÈåß,2301996,1122598,1179398,2242701,1093015,1149686,268428,137639,130789,1346845,679510,667335,638984,278918,360066,14480,7400,7080,1.20,24632,12454,12178,44078,25324,18754,44242,25266,18976,8921,3553,13.7,30.9,0.5,99,1247.0,10612,2182376,724,34835,42000,256800,232,2327,25704,381,7881,114086,207,4875,58381,19041,18224,95,4536,57157,18805,9732,5,14,174,5113,2613,49410,1070,14,10891,1552,70,22,16763,1621,64398,282120,351573,16457,16065,13445,5678790,121820,14661,4679,5819,4112,1223623,564646,402040,252303,814327,977,15.8,109,1686,1052,492,40995,340,39497,6309,264817,76291,24121,22717,9804,8369,12655,31760,6955,22245,49899
2019,R04000,ã{èÈåß,2312000,1128000,1184000,2290000,1118000,1172000,272000,139000,132000,1382000,702000,680000,652000,286000,367000,14947,7745,7202,1.23,25202,12769,12433,44379,25499,18880,47462,27296,20166,10073,3780,13.6,30.0,-0.9,97,1389.5,12033,2361249,757,34768,40300,240100,238,2357,27006,383,7913,115630,207,4851,58332,19756,18972,94,4562,58803,19203,9584,5,14,169,5012,2537,49121,997,12,10819,1510,65,23,16063,1884,67926,274059,439818,20438,20159,52670,9228850,534250,16427,5062,6975,4320,1364710,623390,432945,302252,830607,990,15.9,112,1671,1061,481,40320,583,38790,6205,276204,77920,17579,23460,10631,11222,12791,33403,10218,27726,51256
2018,R04000,ã{èÈåß,2320000,1132000,1187000,2301000,1124000,1177000,276000,142000,135000,1396000,709000,687000,643000,281000,362000,16211,8251,7960,1.30,24520,12496,12024,45658,26112,19546,47358,27194,20164,10328,3645,13.6,29.7,-2.2,106,1082.0,13391,2770189,763,34389,38600,216300,242,2369,28536,385,7937,116636,209,4909,59344,20573,19831,94,4553,59942,19472,9646,5,14,162,5004,2467,48623,1039,12,10839,1549,64,23,15628,2007,71352,281746,480487,22722,22376,51278,8647770,364110,19694,5786,9304,4577,1567782,719576,451535,394644,825806,982,16.1,113,1673,1066,468,38493,613,35646,6253,274585,72541,18572,23182,9317,10860,12592,35107,12760,26617,53037
2017,R04000,ã{èÈåß,2326000,1136000,1190000,2309000,1128000,1180000,280000,144000,137000,1412000,717000,695000,631000,275000,357000,16681,8606,8075,1.31,23973,12279,11694,46064,26544,19520,47326,27144,20182,10658,3745,12.9,29.3,-0.7,101,1320.5,14338,2968930,785,34230,37000,194900,247,2334,29769,395,7916,117402,211,4928,61189,20818,20224,95,4559,60764,19712,9715,4,14,146,4970,2362,48163,964,11,10755,1558,65,23,15648,1950,75721,298893,482818,24328,24059,48853,8669250,251610,21173,6307,9647,5109,1747441,794751,501374,444290,840570,996,16.0,114,1659,1064,429,36238,790,35765,5925,280273,71418,20481,20680,11232,9724,15059,31686,11490,27897,60606
2016,R04000,ã{èÈåß,2332000,1139000,1192000,2315000,1132000,1184000,285000,146000,139000,1429000,725000,703000,616000,267000,349000,17399,8932,8467,1.35,23523,12003,11520,47124,27464,19660,47607,27366,20241,11160,3790,13.5,29.9,-0.8,90,1209.0,16320,3108281,806,34249,35800,176400,254,2382,30646,399,7888,118204,213,4985,62855,21395,20772,95,4556,61345,19806,9749,4,14,142,4942,2384,48006,1017,9,10888,1591,64,22,15854,1637,82661,320017,457000,26665,26524,45782,8451560,175480,21295,7467,9895,3779,1864588,961700,390338,501403,836852,988,15.8,113,1662,1069,400,34154,638,33872,5567,281024,74103,18144,21904,11118,11467,14306,36451,9409,29024,55098
2015,R04000,ã{èÈåß,2333899,1140167,1193732,2291508,1119800,1171708,286003,146491,139512,1410322,711994,698328,588240,254066,334174,18023,9319,8704,1.36,23121,11859,11262,48315,28223,20092,48391,27930,20461,11334,3993,13.7,29.0,-0.3,100,1444.5,16765,3377397,815,34118,34000,162000,262,2351,30704,404,7928,119806,213,4954,63782,21544,21026,95,4595,61366,19587,9687,4,14,140,4803,2269,47879,825,3,10562,1581,65,21,16339,1631,89046,349698,442610,28932,28804,41685,8834660,161250,23921,7780,11593,4453,2108384,1000348,448341,649692,851108,1000,16.6,115,1646,1059,370,31789,926,32166,5222,267661,70741,17885,23940,8924,10797,12874,37132,9152,23203,53012
2014,R04000,ã{èÈåß,2335000,1140000,1195000,2322000,1134000,1188000,297000,152000,145000,1458000,736000,722000,573000,246000,327000,18069,9385,8684,1.30,22854,11752,11102,48951,28517,20434,46514,26987,19527,11767,3824,12.8,28.6,-2.1,107,1416.5,16441,3654612,816,33710,32800,153200,280,2516,33017,409,7957,121076,215,4930,64499,21570,21049,98,4573,61583,19825,9668,4,14,132,4791,1955,48335,697,6,11031,1565,65,22,16941,1712,94822,368142,437644,31901,31781,43425,8401590,102550,24476,7438,12356,4271,2139262,966829,428217,723776,856499,1008,16.4,115,1626,1054,347,29290,978,30519,5139,287881,71623,19657,25403,9762,12595,12309,39184,9542,27761,60045
2013,R04000,ã{èÈåß,2333000,1138000,1196000,2322000,1133000,1189000,299000,153000,146000,1476000,744000,732000,553000,236000,317000,18949,9692,9257,1.34,22214,11396,10818,51326,30207,21119,46670,26912,19758,11985,4162,12.7,30.0,-2.7,99,1111.5,18905,4259403,831,33600,31900,146600,282,2507,33272,419,7984,122447,216,4921,64862,21852,21312,100,4609,61572,19657,9496,4,14,118,4747,1514,49059,492,4,11218,1643,65,22,17619,1794,99498,394305,459911,34640,34257,47404,8486910,78400,25746,9673,12516,3499,2342211,1262743,364097,709663,865164,1018,16.8,115,1627,1052,337,28489,966,29461,5125,289429,70398,14172,24065,9760,12456,12428,42416,10057,27816,65863
2012,R04000,ã{èÈåß,2329000,1134000,1195000,2319000,1130000,1189000,301000,154000,147000,1491000,750000,740000,534000,226000,307000,18707,9527,9180,1.30,22101,11475,10626,53183,31501,21682,47114,26951,20163,12315,3957,12.6,30.8,-3.1,104,1179.5,18612,3845549,849,31429,31600,175300,290,2421,33070,438,8117,123975,220,4921,64906,21605,21092,100,4628,62424,20254,9709,4,14,90,4615,1165,49395,521,1,11053,1606,66,23,17681,1665,101808,437552,461514,37903,37778,57878,8325300,74590,21177,9575,7527,3875,2090381,1271415,393009,407284,866438,1021,16.9,115,1616,1044,332,27769,857,29200,4903,295433,69929,14779,23889,13189,14081,11215,41211,14240,30295,62605
2023,R05000,èHìcåß,914000,432000,482000,909000,430000,479000,83000,42000,41000,474000,241000,233000,357000,149000,208000,3611,1860,1751,1.10,17517,8315,9202,10002,5845,4157,13177,7123,6054,2302,1151,13.7,35.0,-2.1,169,2208.5,3838,672519,503,15366,13200,24700,32,327,1715,174,2957,36478,104,2073,20725,7096,6810,52,1970,20438,6553,3236,4,7,58,1008,537,8664,274,19,1966,362,16,3,1592,59,30175,118358,165772,10632,11011,7526,2606890,78510,3456,1925,1228,287,308814,216600,28356,62437,324537,957,13.6,48,806,404,178,16407,3,12829,2415,272086,78124,11954,29515,9969,6688,12305,41869,4316,23175,54173
2022,R05000,èHìcåß,930000,439000,491000,926000,438000,488000,86000,44000,42000,484000,246000,239000,359000,149000,210000,3992,2039,1953,1.18,17256,8244,9012,10348,6094,4254,13306,7266,6040,2447,1068,12.6,29.7,-2.4,166,1862.0,4390,721994,507,15117,13200,24400,32,336,1849,177,3040,37848,110,2156,21405,7282,7057,52,2001,21100,6991,3322,4,7,59,1007,593,8796,291,17,1981,380,16,3,1592,12,31137,118836,178752,10713,11121,2516,2375650,11680,3842,2239,1043,532,363961,258455,53274,49828,340603,991,14.1,49,817,424,268,25603,7,21624,2384,275545,73628,13191,29456,11358,8425,11692,45002,8557,24327,49909
2021,R05000,èHìcåß,945000,446000,499000,941000,444000,497000,90000,46000,44000,495000,251000,245000,360000,149000,210000,4335,2251,2084,1.22,16019,7703,8316,10541,6137,4404,13439,7226,6213,2618,1043,12.9,30.5,-3.3,175,1916.5,4975,872578,515,15227,13200,24300,33,373,2065,182,3099,38992,111,2166,21924,7500,7306,52,2026,21448,7055,3404,4,7,59,1004,577,8904,263,16,2060,416,16,3,1495,7,30999,121572,182446,10689,11053,1034,2195210,4470,4182,2613,765,785,420786,305604,73944,38186,345947,989,14.6,50,822,427,272,25787,10,21915,2610,247776,72364,10342,26395,9587,7234,11440,35886,5281,21284,47963
2020,R05000,èHìcåß,959502,452439,507063,950192,447998,502194,92673,47427,45246,500687,251922,248765,357568,147988,209580,4499,2293,2206,1.24,15379,7619,7760,10519,6065,4454,13519,7292,6227,2686,1213,12.8,30.3,-0.8,192,2022.5,4796,764375,523,15151,13200,24500,36,401,2258,191,3193,40192,112,2185,22182,7379,7180,54,2047,22266,7392,3553,4,7,60,1003,563,8884,285,9,1991,306,19,2,1467,8,32595,129447,161245,10586,10897,2823,2003950,20010,3886,2509,833,470,393992,299573,46620,43852,350545,987,14.9,50,805,426,272,25515,22,22621,2623,264922,72763,14661,25743,11547,6791,11625,38578,4394,22769,56050
2019,R05000,èHìcåß,972000,458000,514000,968000,457000,512000,95000,48000,46000,512000,257000,255000,359000,149000,211000,4696,2403,2293,1.33,15784,7629,8155,10570,6115,4455,14764,7911,6853,3161,1278,12.9,30.5,-1.8,151,1566.5,5140,775613,545,15729,13300,24800,39,392,2516,195,3248,41381,114,2225,22634,7760,7576,54,2086,23102,7814,3511,4,7,57,1023,579,8940,281,23,2006,315,19,2,1454,13,35124,127375,172966,13057,13556,13020,3074660,119320,4250,2705,1005,518,432013,329011,52063,49434,359010,994,15.2,52,802,436,277,27066,65,24532,2973,261579,69080,11716,26180,8617,8500,11282,40526,9193,23380,53105
2018,R05000,èHìcåß,985000,464000,522000,982000,463000,519000,98000,50000,48000,526000,264000,262000,357000,147000,210000,5040,2545,2495,1.33,15434,7519,7915,10569,6193,4376,15111,8053,7058,3052,1246,12.3,29.2,-4.0,168,2016.5,5358,849138,547,15734,13400,25100,40,371,2696,199,3288,42670,115,2252,23034,7856,7675,54,2109,23947,7939,3603,4,7,59,1034,633,8947,334,12,1984,327,22,4,1501,103,36771,131002,185674,14325,14967,12235,2981160,112160,4487,2779,1061,629,462056,343128,61957,55069,361443,989,15.9,53,814,444,275,25669,37,23472,2907,280058,71840,11849,26191,9798,8766,10324,48688,7820,24527,60254
2017,R05000,èHìcåß,999000,470000,529000,995000,469000,527000,101000,51000,49000,541000,271000,270000,354000,146000,209000,5396,2730,2666,1.35,15425,7513,7912,10947,6417,4530,15266,8124,7142,3311,1366,11.9,29.1,-2.0,192,1935.0,5044,761815,565,15951,13500,25500,41,381,2936,202,3373,43795,117,2273,23894,8171,8038,55,2165,24818,8313,3769,4,7,61,1035,685,8897,331,13,2021,339,24,4,1578,146,38605,138191,172879,14866,15517,11616,2854880,95130,3961,2524,1018,386,409374,313140,38686,54176,364954,984,15.5,53,804,442,271,25447,41,23234,3116,260696,69879,16429,26604,9720,8370,11972,36457,6325,22117,52823
2016,R05000,èHìcåß,1011000,475000,536000,1008000,474000,534000,104000,53000,51000,555000,278000,278000,351000,144000,207000,5666,2841,2825,1.39,15244,7418,7826,11353,6548,4805,15751,8444,7307,3510,1393,12.5,31.4,-1.7,171,1795.5,5144,822979,577,16072,13800,26100,41,384,3065,202,3391,44909,117,2291,24714,8570,8424,55,2199,25530,8524,3858,4,7,60,1048,733,8986,382,16,2061,317,24,4,1597,166,41560,149963,155278,16014,16624,11341,2833660,62360,4205,2672,1126,393,439131,333439,39275,63691,370216,984,15.7,53,809,445,272,25821,33,23810,3300,255168,65222,13734,24558,9318,7894,13740,35342,8317,21275,55768
2015,R05000,èHìcåß,1023119,480336,542783,1017149,478034,539115,106041,54137,51904,565237,281593,283644,343301,139825,203476,5861,3044,2817,1.35,14794,7376,7418,11710,6776,4934,16202,8680,7522,3613,1534,12.7,29.0,-1.3,142,1490.5,5177,855484,590,16208,14200,26900,47,387,3481,213,3473,45882,119,2319,25486,8695,8555,57,2246,26299,8695,3876,5,7,62,1046,740,8907,338,8,1916,296,25,4,1630,174,46169,165433,151469,17302,18106,9861,2724680,49810,3809,2527,946,317,403402,319350,32713,49334,380228,994,16.2,54,814,442,261,24901,37,23720,3127,249778,64037,13263,25611,9767,9027,10203,33429,4674,22757,57010
2014,R05000,èHìcåß,1037000,487000,550000,1034000,486000,548000,112000,57000,55000,587000,293000,294000,339000,137000,202000,5998,3098,2900,1.34,15096,7535,7561,11626,6635,4991,16049,8670,7379,3842,1444,12.0,28.7,-2.9,177,1737.5,5147,856050,600,16266,14700,28100,90,710,7153,224,3581,46982,123,2329,26437,9101,8949,57,2281,26926,8899,3952,5,7,61,1054,801,8771,433,23,1862,302,25,4,1685,174,49657,179447,141530,18601,19617,10693,2718710,33810,3951,2515,1108,317,426806,330503,32116,62488,386032,1000,16.2,56,822,444,246,22828,53,22501,3480,266560,63825,12323,28320,10260,9980,10832,41837,6056,24787,58340
2013,R05000,èHìcåß,1050000,493000,557000,1047000,492000,555000,115000,58000,56000,604000,301000,303000,331000,133000,199000,6177,3118,3059,1.35,14824,7414,7410,11943,6855,5088,16538,9017,7521,3865,1485,11.9,29.3,-3.4,187,2373.0,6386,1051704,611,16543,15300,29500,93,737,7375,228,3657,48249,123,2323,27154,9303,9162,58,2345,27662,9089,4039,5,7,60,1029,1018,8694,551,39,1964,282,25,5,1700,195,54699,203866,128268,19344,20299,12669,2834630,31530,4366,3193,824,316,516563,433859,33470,46626,392034,1002,16.9,57,824,447,251,23193,38,23093,3590,272864,64728,13404,27443,8693,9347,12789,36312,9688,25269,65192
2012,R05000,èHìcåß,1063000,499000,564000,1060000,498000,562000,118000,60000,58000,619000,308000,311000,326000,130000,196000,6543,3281,3262,1.37,14856,7485,7371,12503,7172,5331,16077,8858,7219,4020,1495,12.1,31.3,-3.8,173,1742.5,5572,886537,615,16741,16100,31600,93,761,7790,237,3727,49468,125,2370,28084,9583,9432,59,2382,28724,9776,4200,5,6,90,994,1154,8527,544,46,1847,230,25,5,1700,149,59610,228030,121981,19433,20602,16378,2837750,23930,3761,2673,709,319,431333,357709,33033,36585,395654,999,17.7,58,821,449,250,22820,22,23317,3681,295071,67455,23413,26104,11049,11431,12057,33427,9519,29347,71269
2023,R06000,éRå`åß,1026000,498000,528000,1018000,494000,523000,109000,56000,53000,556000,284000,272000,361000,158000,203000,5151,2640,2511,1.22,16975,7994,8981,11436,6618,4818,15626,8475,7151,2971,1223,13.7,35.0,-3.2,129,1176.5,5060,708276,747,19159,20000,40800,55,682,4352,223,3790,46867,94,2183,25805,8768,8467,60,2390,26060,8236,4197,3,7,67,1063,892,11642,440,123,2628,567,20,3,1986,53,33805,130705,190131,10740,11160,12281,3833000,137670,4510,2336,1365,783,419149,279272,74513,63292,326157,868,13.4,52,881,453,221,19908,0,16020,3165,322992,84105,20613,31954,12696,8238,15170,60454,7267,26661,55835
2022,R06000,éRå`åß,1041000,505000,536000,1033000,502000,532000,113000,58000,55000,566000,289000,277000,362000,158000,204000,5674,2936,2738,1.32,16883,8164,8719,11780,6848,4932,15540,8436,7104,3184,1197,12.6,31.0,-3.9,143,1177.5,5694,884049,757,19570,19900,40500,59,723,4805,230,3811,48241,94,2198,26362,9025,8768,60,2409,26679,8767,4280,3,6,68,1035,914,11728,446,87,2709,538,20,4,2058,62,33345,126916,210818,10990,11259,3367,3389590,21860,4559,2474,1296,737,435778,298476,75116,58925,345727,909,13.6,53,903,468,302,27425,0,24018,3224,276567,77493,16140,33197,10147,8183,12474,40699,7734,22348,48153
2021,R06000,éRå`åß,1055000,511000,544000,1048000,508000,540000,117000,60000,57000,576000,294000,282000,362000,157000,205000,5898,3004,2894,1.32,15753,7533,8220,12023,6931,5092,15134,8196,6938,3386,1240,12.7,31.1,-4.2,141,1037.5,6074,966811,774,20002,19800,40400,63,730,5381,234,3872,49164,94,2241,26969,9164,8953,61,2414,27233,8998,4448,3,6,75,1036,991,11801,521,87,2728,548,22,4,2041,84,33940,133652,193614,11269,11495,1417,2696320,8680,5184,2867,1541,755,508415,358622,78295,70209,348221,904,13.7,53,913,473,299,26971,0,23969,3186,321411,79328,20501,29475,11286,8672,12763,67131,10068,24341,57846
2020,R06000,éRå`åß,1068027,516438,551589,1056617,511742,544875,120086,61591,58495,578819,293692,285127,359554,155388,204166,6217,3224,2993,1.37,15348,7381,7967,11944,6851,5093,15171,8252,6919,3530,1362,13.0,32.7,-1.3,127,1284.5,6014,995407,790,20024,19700,40700,69,746,5840,244,3921,50885,97,2311,27473,9068,8887,61,2462,28281,9381,4355,3,6,84,1043,1143,11723,590,110,2590,495,22,5,1981,73,35660,144654,162062,11082,11405,4584,2741910,65990,4910,2862,1273,767,499177,360218,78179,59605,351454,901,13.3,53,910,476,293,27124,0,24954,3467,293536,77254,16066,29590,12130,8525,12431,47277,8545,22462,59256
2019,R06000,éRå`åß,1080000,522000,558000,1073000,519000,553000,123000,63000,60000,594000,302000,293000,360000,155000,205000,6401,3284,3117,1.40,15719,7602,8117,12196,7030,5166,16739,8942,7797,4014,1433,12.8,32.0,-2.9,131,1261.5,6324,1004369,807,20253,19600,40800,72,761,6489,249,3957,52034,99,2332,27938,9577,9445,61,2507,29251,9791,4515,3,6,86,1062,1161,11767,537,74,2691,488,22,5,1964,119,39466,141315,203011,14447,14933,19616,4351550,184760,5697,2804,1894,974,552052,357444,101936,90092,364842,922,14.4,54,919,483,288,26343,45,25425,4067,306269,77343,16543,30221,11306,9940,12455,53295,12377,25959,56830
